,topDistance,bottomDistance,birdPosition,jump
1274,308.70698080866265,272.02941017470886,428.0,0
1275,298.5150749962219,267.5093456311387,415.5,0
1276,289.6484938679986,263.33676158105993,405.5,0
1277,283.21370023358685,258.8628980754098,401.0,0
1278,281.298773548695,253.23704310388715,407.0,0
1279,284.41167345944154,247.1639132235934,423.0,0
1280,288.46663585239804,242.10121850168372,439.0,0
1281,293.42460701175014,238.1134183535233,455.0,0
1282,284.40156469330475,232.45268335728025,446.5,1
1283,273.46891962341897,227.0137661024106,434.5,0
1284,262.4576156258378,222.22511109233358,422.0,0
1285,252.96047122030745,217.91970998512272,412.0,0
1286,246.36203035370528,213.41098847060337,407.5,0
1287,237.77720664521232,209.61393083476108,399.0,1
1288,227.65983396286663,206.95168518279817,387.0,0
1289,217.63558992039881,205.2200038982555,374.5,0
1290,209.57099035887578,203.02709178826356,366.0,1
1291,200.38213493223392,202.6153992173349,354.0,0
1292,191.47911113225902,203.25907113828893,341.5,0
1293,183.79132188435884,203.5417647560323,331.5,0
1294,177.78920102188434,201.51674868357716,327.0,0
1295,174.61385970191483,194.1391253714717,333.0,0
1296,175.30829986055994,182.02472359545007,349.0,0
1297,177.5894140989265,170.6985647274165,365.0,0
1298,181.39735389470266,160.3277892319357,381.0,0
1299,172.62459268597854,158.5851506289287,372.5,1
1300,162.2536594348491,158.98506219138955,360.5,0
1301,152.0690632574555,160.70158679988197,348.0,0
1302,143.38758663147937,162.04937519163718,338.0,0
1303,137.04470073665746,160.7210316044543,333.5,0
1304,134.87123488720638,153.10209012289806,339.5,0
1305,138.17108959547218,139.7900211030816,355.5,0
1306,129.49517365523704,140.60227594174995,347.0,1
1307,119.40686747419514,144.42298985964803,335.0,0
1308,109.74629834304207,149.64708483629076,322.5,0
1309,101.6821026533185,153.91312484645357,312.5,0
1310,95.60334722173695,154.40207252495026,308.0,0
1311,92.69843580125827,146.60491124106312,314.0,0
1312,95.01578816175763,130.87398519186308,330.0,0
1313,100.12492197250393,115.43396380615195,346.0,0
1314,107.62899237658968,100.41912168506553,362.0,0
1315,97.98596838323333,103.20489329484334,353.5,1
1316,85.93165889240123,109.70072925919864,341.5,0
1317,73.87827826905551,117.72000679578642,329.0,0
1318,63.8200595424354,124.39051410778879,319.0,0
1319,57.142366069318484,126.55137296766084,314.5,0
1320,56.97587208634897,119.14801718870524,320.5,0
1321,65.8729838401146,102.41703959791066,336.5,0
1322,77.42254193708703,85.69859975518854,352.5,0
1323,90.61594782376886,69.00181157042184,368.5,0
1324,81.04319835741924,75.28612089887484,360.0,1
1325,68.15423684555495,85.70297544426332,348.0,0
1326,54.82928049865327,97.24325169388362,335.5,0
1327,44.05961870012041,106.72979902538934,325.5,0
1328,39.05124837953327,111.01801655587259,321.0,0
1329,45.09988913511872,105.04284840006957,327.0,0
1330,61.5223536610881,89.35882720806042,343.0,0
1331,54.08558033339386,98.36284867774012,334.5,1
1332,44.31986010808247,110.96959042909008,322.5,0
1333,36.235341863986875,124.1491039033307,310.0,0
1334,33.28663395418648,134.937022347464,300.0,0
1335,35.654592972014136,140.43236806377652,295.5,0
